TEXT	SONNET NUMBER	LINE
My love looks fresh and Death to me subscribes	107	10
Since spite of him I'll live in this poor rime	107	11
While he insults o'er dull and speechless tribes	107	12
And thou in this shalt find thy monument	107	13
When tyrants crests and tombs of brass are spent	107	14
What's in the brain that ink may character	108	1
Which hath not figur'd to thee my true spirit	108	2
What's new to speak what now to register	108	3
That may express my love or thy dear merit	108	4
Nothing sweet boy but yet like prayers divine	108	5
I must each day say o'er the very same	108	6
Counting no old thing old thou mine I thine	108	7
Even as when first I hallow'd thy fair name	108	8
So that eternal love in love's fresh case	108	9
Weighs not the dust and injury of age	108	10
Nor gives to necessary wrinkles place	108	11
But makes antiquity for aye his page	108	12
Finding the first conceit of love there bred	108	13
Where time and outward form would show it dead	108	14
O never say that I was false of heart	109	1
Though absence seem'd my flame to qualify	109	2
As easy might I from my self depart	109	3
As from my soul which in thy breast doth lie	109	4
That is my home of love if I have rang'd	109	5
Like him that travels I return again	109	6
Just to the time not with the time exchang'd	109	7
So that myself bring water for my stain	109	8
Never believe though in my nature reign'd	109	9
All frailties that besiege all kinds of blood	109	10
That it could so preposterously be stain'd	109	11
To leave for nothing all thy sum of good	109	12
For nothing this wide universe I call	109	13
Save thou my rose in it thou art my all	109	14
Alas tis true I have gone here and there	110	1
And made my self a motley to the view	110	2
Gor'd mine own thoughts sold cheap what is most dear	110	3
Made old offences of affections new	110	4
Most true it is that I have look'd on truth	110	5
Askance and strangely but by all above	110	6
These blenches gave my heart another youth	110	7
And worse essays prov'd thee my best of love	110	8
Now all is done save what shall have no end	110	9
Mine appetite I never more will grind	110	10
On newer proof to try an older friend	110	11
A god in love to whom I am confin'd	110	12
Then give me welcome next my heaven the best	110	13
Even to thy pure and most most loving breast	110	14
O for my sake do you with Fortune chide	111	1
The guilty goddess of my harmful deeds	111	2
That did not better for my life provide	111	3
Than public means which public manners breeds	111	4
Thence comes it that my name receives a brand	111	5
And almost thence my nature is subdu'd	111	6
To what it works in like the dyer's hand	111	7
Pity me then and wish I were renew'd	111	8
Whilst like a willing patient I will drink	111	9
Potions of eisel gainst my strong infection	111	10
No bitterness that I will bitter think	111	11
Nor double penance to correct correction	111	12
Pity me then dear friend and I assure ye	111	13
Even that your pity is enough to cure me	111	14
Your love and pity doth the impression fill	112	1
Which vulgar scandal stamp'd upon my brow	112	2
For what care I who calls me well or ill	112	3
So you o'er-green my bad my good allow	112	4
You are my all-the-world and I must strive	112	5
To know my shames and praises from your tongue	112	6
None else to me nor I to none alive	112	7
That my steel'd sense or changes right or wrong	112	8
In so profound abysm I throw all care	112	9
Of others voices that my adder's sense	112	10
To critic and to flatterer stopped are	112	11
Mark how with my neglect I do dispense	112	12
You are so strongly in my purpose bred	112	13
That all the world besides methinks are dead	112	14
Since I left you mine eye is in my mind	113	1
And that which governs me to go about	113	2
Doth part his function and is partly blind	113	3
Seems seeing but effectually is out	113	4
For it no form delivers to the heart	113	5
Of bird of flower or shape which it doth latch	113	6
Of his quick objects hath the mind no part	113	7
Nor his own vision holds what it doth catch	113	8
For if it see the rud'st or gentlest sight	113	9
The most sweet favour or deformed'st creature	113	10
The mountain or the sea the day or night	113	11
The crow or dove it shapes them to your feature	113	12
Incapable of more replete with you	113	13
My most true mind thus maketh mine untrue	113	14
Or whether doth my mind being crown'd with you	114	1
Drink up the monarch's plague this flattery	114	2
Or whether shall I say mine eye saith true	114	3
And that your love taught it this alchemy	114	4
To make of monsters and things indigest	114	5
Such cherubins as your sweet self resemble	114	6
Creating every bad a perfect best	114	7
As fast as objects to his beams assemble	114	8
O tis the first tis flattery in my seeing	114	9
And my great mind most kingly drinks it up	114	10
Mine eye well knows what with his gust is greeing	114	11
And to his palate doth prepare the cup	114	12
If it be poison'd tis the lesser sin	114	13
That mine eye loves it and doth first begin	114	14
Those lines that I before have writ do lie	115	1
Even those that said I could not love you dearer	115	2
Yet then my judgment knew no reason why	115	3
My most full flame should afterwards burn clearer	115	4
But reckoning Time whose million'd accidents	115	5
Creep in twixt vows and change decrees of kings	115	6
Tan sacred beauty blunt the sharp'st intents	115	7
Divert strong minds to the course of altering things	115	8
Alas why fearing of Time's tyranny	115	9
Might I not then say Now I love you best	115	10
When I was certain o'er incertainty	115	11
Crowning the present doubting of the rest	115	12
Love is a babe then might I not say so	115	13
To give full growth to that which still doth grow	115	14
Let me not to the marriage of true minds	116	1
Admit impediments Love is not love	116	2
Which alters when it alteration finds	116	3
Or bends with the remover to remove	116	4
O no it is an ever-fixed mark	116	5
That looks on tempests and is never shaken	116	6
It is the star to every wandering bark	116	7
Whose worth's unknown although his height be taken	116	8
Love's not Time's fool though rosy lips and cheeks	116	9
Within his bending sickle's compass come	116	10
Love alters not with his brief hours and weeks	116	11
But bears it out even to the edge of doom	116	12
If this be error and upon me prov'd	116	13
I never writ nor no man ever lov'd	116	14
Accuse me thus that I have scanted all	117	1
Wherein I should your great deserts repay	117	2
Forgot upon your dearest love to call	117	3
Whereto all bonds do tie me day by day	117	4
That I have frequent been with unknown minds	117	5
And given to time your own dear-purchas'd right	117	6
That I have hoisted sail to all the winds	117	7
Which should transport me farthest from your sight	117	8
Book both my wilfulness and errors down	117	9
And on just proof surmise accumulate	117	10
Bring me within the level of your frown	117	11
But shoot not at me in your waken'd hate	117	12
Since my appeal says I did strive to prove	117	13
The constancy and virtue of your love	117	14
Like as to make our appetite more keen	118	1
With eager compounds we our palate urge	118	2
As to prevent our maladies unseen	118	3
We sicken to shun sickness when we purge	118	4
Even so being full of your ne'er-cloying sweetness	118	5
To bitter sauces did I frame my feeding	118	6
And sick of welfare found a kind of meetness	118	7
To be diseas'd ere that there was true needing	118	8
Thus policy in love to anticipate	118	9
The ills that were not grew to faults assur'd	118	10
And brought to medicine a healthful state	118	11
Which rank of goodness would by ill be cur'd	118	12
But thence I learn and find the lesson true	118	13
Drugs poison him that so fell sick of you	118	14
What potions have I drunk of Siren tears	119	1
Distill'd from limbecks foul as hell within	119	2
Applying fears to hopes and hopes to fears	119	3
Still losing when I saw myself to win	119	4
What wretched errors hath my heart committed	119	5
Whilst it hath thought itself so blessed never	119	6
How have mine eyes out of their spheres been fitted	119	7
In the distraction of this madding fever	119	8
O benefit of ill now I find true	119	9
That better is by evil still made better	119	10
And ruin'd love when it is built anew	119	11
Grows fairer than at first more strong far greater	119	12
So I return rebuk'd to my content	119	13
And gain by ill thrice more than I have spent	119	14
That you were once unkind befriends me now	120	1
And for that sorrow which I then did feel	120	2
Needs must I under my transgression bow	120	3
Unless my nerves were brass or hammer'd steel	120	4
For if you were by my unkindness shaken	120	5
As I by yours you've pass'd a hell of time	120	6
And I a tyrant have no leisure taken	120	7
To weigh how once I suffer'd in your crime	120	8
O that our night of woe might have remember'd	120	9
My deepest sense how hard true sorrow hits	120	10
And soon to you as you to me then tender'd	120	11
The humble salve which wounded bosoms fits	120	12
But that your trespass now becomes a fee	120	13
Mine ransoms yours and yours must ransom me	120	14
Tis better to be vile than vile esteem'd	121	1
When not to be receives reproach of being	121	2
And the just pleasure lost which is so deem'd	121	3
Not by our feeling but by others seeing	121	4
For why should others false adulterate eyes	121	5
Give salutation to my sportive blood	121	6
Or on my frailties why are frailer spies	121	7
Which in their wills count bad what I think good	121	8
No I am that I am and they that level	121	9
At my abuses reckon up their own	121	10
I may be straight though they themselves be bevel	121	11
By their rank thoughts my deeds must not be shown	121	12
Unless this general evil they maintain	121	13
All men are bad and in their badness reign	121	14
Thy gift thy tables are within my brain	122	1
Full character'd with lasting memory	122	2
Which shall above that idle rank remain	122	3
Beyond all date even to eternity	122	4
Or at the least so long as brain and heart	122	5
Have faculty by nature to subsist	122	6
Till each to raz'd oblivion yield his part	122	7
Of thee thy record never can be miss'd	122	8
That poor retention could not so much hold	122	9
Nor need I tallies thy dear love to score	122	10
Therefore to give them from me was I bold	122	11
To trust those tables that receive thee more	122	12
To keep an adjunct to remember thee	122	13
Were to import forgetfulness in me	122	14
No Time thou shalt not boast that I do change	123	1
Thy pyramids built up with newer might	123	2
To me are nothing novel nothing strange	123	3
They are but dressings of a former sight	123	4
Our dates are brief and therefore we admire	123	5
What thou dost foist upon us that is old	123	6
And rather make them born to our desire	123	7
Than think that we before have heard them told	123	8
Thy registers and thee I both defy	123	9
Not wondering at the present nor the past	123	10
For thy records and what we see doth lie	123	11
Made more or less by thy continual haste	123	12
This I do vow and this shall ever be	123	13
I will be true despite thy scythe and thee	123	14
If my dear love were but the child of state	124	1
It might for Fortune's bastard be unfather'd	124	2
As subject to Time's love or to Time's hate	124	3
Weeds among weeds or flowers with flowers gather'd	124	4
No it was builded far from accident	124	5
It suffers not in smiling pomp nor falls	124	6
Under the blow of thralled discontent	124	7
Whereto th inviting time our fashion calls	124	8
It fears not policy that heretic	124	9
Which works on leases of short-number'd hours	124	10
But all alone stands hugely politic	124	11
That it nor grows with heat nor drowns with showers	124	12
To this I witness call the fools of time	124	13
Which die for goodness who have lived for crime	124	14
Were't aught to me I bore the canopy	125	1
With my extern the outward honouring	125	2
Or laid great bases for eternity	125	3
Which proves more short than waste or ruining	125	4
Have I not seen dwellers on form and favour	125	5
Lose all and more by paying too much rent	125	6
For compound sweet forgoing simple savour	125	7
Pitiful thrivers in their gazing spent	125	8
No let me be obsequious in thy heart	125	9
And take thou my oblation poor but free	125	10
Which is not mix'd with seconds knows no art	125	11
But mutual render only me for thee	125	12
Hence thou suborned informer a true soul	125	13
When most impeach'd stands least in thy control	125	14
O thou my lovely boy who in thy power	126	1
Dost hold Time's fickle glass his fickle hour	126	2
Who hast by waning grown and therein show'st	126	3
Thy lovers withering as thy sweet self grow'st	126	4
If Nature sovereign mistress over wrack	126	5
As thou goest onwards still will pluck thee back	126	6
She keeps thee to this purpose that her skill	126	7
May time disgrace and wretched minutes kill	126	8
Yet fear her O thou minion of her pleasure	126	9
She may detain but not still keep her treasure	126	10
Her audit though delayed answered must be	126	11
And her quietus is to render thee	126	12
In the old age black was not counted fair	127	1
Or if it were it bore not beauty's name	127	2
But now is black beauty's successive heir	127	3
And beauty slander'd with a bastard shame	127	4
For since each hand hath put on Nature's power	127	5
Fairing the foul with Art's false borrowed face	127	6
Sweet beauty hath no name no holy bower	127	7
But is profan'd if not lives in disgrace	127	8
Therefore my mistress eyes are raven black	127	9
Her eyes so suited and they mourners seem	127	10
At such who not born fair no beauty lack	127	11
Sland'ring creation with a false esteem	127	12
Yet so they mourn becoming of their woe	127	13
That every tongue says beauty should look so	127	14
How oft when thou my music music play'st	128	1
Upon that blessed wood whose motion sounds	128	2
With thy sweet fingers when thou gently sway'st	128	3
The wiry concord that mine ear confounds	128	4
Do I envy those jacks that nimble leap	128	5
To kiss the tender inward of thy hand	128	6
Whilst my poor lips which should that harvest reap	128	7
At the wood's boldness by thee blushing stand	128	8
To be so tickled they would change their state	128	9
And situation with those dancing chips	128	10
O'er whom thy fingers walk with gentle gait	128	11
Making dead wood more bless'd than living lips	128	12
Since saucy jacks so happy are in this	128	13
Give them thy fingers me thy lips to kiss	128	14
The expense of spirit in a waste of shame	129	1
Is lust in action and till action lust	129	2
Is perjur'd murderous bloody full of blame	129	3
Savage extreme rude cruel not to trust	129	4
Enjoy'd no sooner but despised straight	129	5
Past reason hunted and no sooner had	129	6
Past reason hated as a swallow'd bait	129	7
On purpose laid to make the taker mad	129	8
Mad in pursuit and in possession so	129	9
Had having and in quest to have extreme	129	10
A bliss in proof and prov'd a very woe	129	11
Before a joy propos'd behind a dream	129	12
All this the world well knows yet none knows well	129	13
To shun the heaven that leads men to this hell	129	14
My mistress eyes are nothing like the sun	130	1
Coral is far more red than her lips red	130	2
If snow be white why then her breasts are dun	130	3
If hairs be wires black wires grow on her head	130	4
I have seen roses damask'd red and white	130	5
But no such roses see I in her cheeks	130	6
And in some perfumes is there more delight	130	7
Than in the breath that from my mistress reeks	130	8
I love to hear her speak yet well I know	130	9
That music hath a far more pleasing sound	130	10
I grant I never saw a goddess go	130	11
My mistress when she walks treads on the ground	130	12
And yet by heaven I think my love as rare	130	13
As any she belied with false compare	130	14
Thou art as tyrannous so as thou art	131	1
As those whose beauties proudly make them cruel	131	2
For well thou know'st to my dear doting heart	131	3
Thou art the fairest and most precious jewel	131	4
Yet in good faith some say that thee behold	131	5
Thy face hath not the power to make love groan	131	6
To say they err I dare not be so bold	131	7
Although I swear it to myself alone	131	8
And to be sure that is not false I swear	131	9
A thousand groans but thinking on thy face	131	10
One on another's neck do witness bear	131	11
Thy black is fairest in my judgment's place	131	12
In nothing art thou black save in thy deeds	131	13
And thence this slander as I think proceeds	131	14
Thine eyes I love and they as pitying me	132	1
Knowing thy heart torment me with disdain	132	2
Have put on black and loving mourners be	132	3
Looking with pretty ruth upon my pain	132	4
And truly not the morning sun of heaven	132	5
Better becomes the grey cheeks of the east	132	6
Nor that full star that ushers in the even	132	7
Doth half that glory to the sober west	132	8
As those two mourning eyes become thy face	132	9
O let it then as well beseem thy heart	132	10
To mourn for me since mourning doth thee grace	132	11
And suit thy pity like in every part	132	12
Then will I swear beauty herself is black	132	13
And all they foul that thy complexion lack	132	14
Beshrew that heart that makes my heart to groan	133	1
For that deep wound it gives my friend and me	133	2
Is't not enough to torture me alone	133	3
But slave to slavery my sweet'st friend must be	133	4
Me from myself thy cruel eye hath taken	133	5
And my next self thou harder hast engross'd	133	6
Of him myself and thee I am forsaken	133	7
A torment thrice three-fold thus to be cross'd	133	8
Prison my heart in thy steel bosom's ward	133	9
But then my friend's heart let my poor heart bail	133	10
Whoe'er keeps me let my heart be his guard	133	11
Thou canst not then use rigour in my jail	133	12
And yet thou wilt for I being pent in thee	133	13
Perforce am thine and all that is in me	133	14
So now I have confess'd that he is thine	134	1
And I my self am mortgag'd to thy will	134	2
Myself I'll forfeit so that other mine	134	3
Thou wilt restore to be my comfort still	134	4
But thou wilt not nor he will not be free	134	5
For thou art covetous and he is kind	134	6
He learn'd but surety-like to write for me	134	7
Under that bond that him as fast doth bind	134	8
The statute of thy beauty thou wilt take	134	9
Thou usurer that putt'st forth all to use	134	10
And sue a friend came debtor for my sake	134	11
So him I lose through my unkind abuse	134	12
Him have I lost thou hast both him and me	134	13
He pays the whole and yet am I not free	134	14
Whoever hath her wish thou hast thy Will	135	1
And Will to boot and Will in over-plus	135	2
More than enough am I that vex'd thee still	135	3
To thy sweet will making addition thus	135	4
Wilt thou whose will is large and spacious	135	5
Not once vouchsafe to hide my will in thine	135	6
Shall will in others seem right gracious	135	7
And in my will no fair acceptance shine	135	8
The sea all water yet receives rain still	135	9
And in abundance addeth to his store	135	10
So thou being rich in Will add to thy Will	135	11
One will of mine to make thy large will more	135	12
Let no unkind No fair beseechers kill	135	13
Think all but one and me in that one Will	135	14
If thy soul check thee that I come so near	136	1
Swear to thy blind soul that I was thy Will	136	2
And will thy soul knows is admitted there	136	3
Thus far for love my love-suit sweet fulfil	136	4
Will will fulfil the treasure of thy love	136	5
Ay fill it full with wills and my will one	136	6
In things of great receipt with ease we prove	136	7
Among a number one is reckon'd none	136	8
Then in the number let me pass untold	136	9
Though in thy store's account I one must be	136	10
For nothing hold me so it please thee hold	136	11
That nothing me a something sweet to thee	136	12
Make but my name thy love and love that still	136	13
And then thou lov'st me for my name is Will	136	14
Thou blind fool Love what dost thou to mine eyes	137	1
That they behold and see not what they see	137	2
They know what beauty is see where it lies	137	3
Yet what the best is take the worst to be	137	4
If eyes corrupt by over-partial looks	137	5
Be anchor'd in the bay where all men ride	137	6
Why of eyes falsehood hast thou forged hooks	137	7
Whereto the judgment of my heart is tied	137	8
Why should my heart think that a several plot	137	9
Which my heart knows the wide world's common place	137	10
Or mine eyes seeing this say this is not	137	11
To put fair truth upon so foul a face	137	12
In things right true my heart and eyes have err'd	137	13
And to this false plague are they now transferr'd	137	14
When my love swears that she is made of truth	138	1
I do believe her though I know she lies	138	2
That she might think me some untutor'd youth	138	3
Unlearned in the world's false subtleties	138	4
Thus vainly thinking that she thinks me young	138	5
Although she knows my days are past the best	138	6
Simply I credit her false-speaking tongue	138	7
On both sides thus is simple truth suppressed	138	8
But wherefore says she not she is unjust	138	9
And wherefore say not I that I am old	138	10
O love's best habit is in seeming trust	138	11
And age in love loves not to have years told	138	12
Therefore I lie with her and she with me	138	13
And in our faults by lies we flatter'd be	138	14
O call not me to justify the wrong	139	1
That thy unkindness lays upon my heart	139	2
Wound me not with thine eye but with thy tongue	139	3
Use power with power and slay me not by art	139	4
Tell me thou lov'st elsewhere but in my sight	139	5
Dear heart forbear to glance thine eye aside	139	6
What need'st thou wound with cunning when thy might	139	7
Is more than my o'erpress'd defence can bide	139	8
Let me excuse thee ah my love well knows	139	9
Her pretty looks have been mine enemies	139	10
And therefore from my face she turns my foes	139	11
That they elsewhere might dart their injuries	139	12
Yet do not so but since I am near slain	139	13
Kill me outright with looks and rid my pain	139	14
Be wise as thou art cruel do not press	140	1
My tongue-tied patience with too much disdain	140	2
Lest sorrow lend me words and words express	140	3
The manner of my pity-wanting pain	140	4
If I might teach thee wit better it were	140	5
Though not to love yet love to tell me so	140	6
As testy sick men when their deaths be near	140	7
No news but health from their physicians know	140	8
For if I should despair I should grow mad	140	9
And in my madness might speak ill of thee	140	10
Now this ill-wresting world is grown so bad	140	11
Mad slanderers by mad ears believed be	140	12
That I may not be so nor thou belied	140	13
Bear thine eyes straight though thy proud heart go wide	140	14
In faith I do not love thee with mine eyes	141	1
For they in thee a thousand errors note	141	2
But tis my heart that loves what they despise	141	3
Who in despite of view is pleased to dote	141	4
Nor are mine ears with thy tongue's tune delighted	141	5
Nor tender feeling to base touches prone	141	6
Nor taste nor smell desire to be invited	141	7
To any sensual feast with thee alone	141	8
But my five wits nor my five senses can	141	9
Dissuade one foolish heart from serving thee	141	10
Who leaves unsway'd the likeness of a man	141	11
Thy proud heart's slave and vassal wretch to be	141	12
Only my plague thus far I count my gain	141	13
That she that makes me sin awards me pain	141	14
Love is my sin and thy dear virtue hate	142	1
Hate of my sin grounded on sinful loving	142	2
O but with mine compare thou thine own state	142	3
And thou shalt find it merits not reproving	142	4
Or if it do not from those lips of thine	142	5
That have profan'd their scarlet ornaments	142	6
And seal'd false bonds of love as oft as mine	142	7
Robb'd others beds revenues of their rents	142	8
Be it lawful I love thee as thou lov'st those	142	9
Whom thine eyes woo as mine importune thee	142	10
Root pity in thy heart that when it grows	142	11
Thy pity may deserve to pitied be	142	12
If thou dost seek to have what thou dost hide	142	13
By self-example mayst thou be denied	142	14
Lo as a careful housewife runs to catch	143	1
One of her feather'd creatures broke away	143	2
Sets down her babe and makes all swift dispatch	143	3
In pursuit of the thing she would have stay	143	4
Whilst her neglected child holds her in chase	143	5
Cries to catch her whose busy care is bent	143	6
To follow that which flies before her face	143	7
Not prizing her poor infant's discontent	143	8
So runn'st thou after that which flies from thee	143	9
Whilst I thy babe chase thee afar behind	143	10
But if thou catch thy hope turn back to me	143	11
And play the mother's part kiss me be kind	143	12
So will I pray that thou mayst have thy Will	143	13
If thou turn back and my loud crying still	143	14
Two loves I have of comfort and despair	144	1
Which like two spirits do suggest me still	144	2
The better angel is a man right fair	144	3
The worser spirit a woman colour'd ill	144	4
To win me soon to hell my female evil	144	5
Tempteth my better angel from my side	144	6
And would corrupt my saint to be a devil	144	7
Wooing his purity with her foul pride	144	8
And whether that my angel be turn'd fiend	144	9
Suspect I may yet not directly tell	144	10
But being both from me both to each friend	144	11
I guess one angel in another's hell	144	12
Yet this shall I ne'er know but live in doubt	144	13
Till my bad angel fire my good one out	144	14
Those lips that Love's own hand did make	145	1
Breathed forth the sound that said I hate	145	2
To me that languish'd for her sake	145	3
But when she saw my woeful state	145	4
Straight in her heart did mercy come	145	5
Chiding that tongue that ever sweet	145	6
Was us'd in giving gentle doom	145	7
And taught it thus anew to greet	145	8
I hate she alter'd with an end	145	9
That followed it as gentle day	145	10
Doth follow night who like a fiend	145	11
From heaven to hell is flown away	145	12
I hate from hate away she threw	145	13
And sav'd my life saying not you	145	14
Poor soul the centre of my sinful earth	146	1
My sinful earth these rebel powers array	146	2
Why dost thou pine within and suffer dearth	146	3
Painting thy outward walls so costly gay	146	4
Why so large cost having so short a lease	146	5
Dost thou upon thy fading mansion spend	146	6
Shall worms inheritors of this excess	146	7
Eat up thy charge Is this thy body's end	146	8
Then soul live thou upon thy servant's loss	146	9
And let that pine to aggravate thy store	146	10
Buy terms divine in selling hours of dross	146	11
Within be fed without be rich no more	146	12
So shall thou feed on Death that feeds on men	146	13
And Death once dead there's no more dying then	146	14
My love is as a fever longing still	147	1
For that which longer nurseth the disease	147	2
Feeding on that which doth preserve the ill	147	3
The uncertain sickly appetite to please	147	4
My reason the physician to my love	147	5
Angry that his prescriptions are not kept	147	6
Hath left me and I desperate now approve	147	7
Desire is death which physic did except	147	8
Past cure I am now Reason is past care	147	9
And frantic-mad with evermore unrest	147	10
My thoughts and my discourse as madmen's are	147	11
At random from the truth vainly express'd	147	12
For I have sworn thee fair and thought thee bright	147	13
Who art as black as hell as dark as night	147	14
O me what eyes hath Love put in my head	148	1
Which have no correspondence with true sight	148	2
Or if they have where is my judgment fled	148	3
That censures falsely what they see aright	148	4
If that be fair whereon my false eyes dote	148	5
What means the world to say it is not so	148	6
If it be not then love doth well denote	148	7
Love's eye is not so true as all men's no	148	8
How can it O how can Love's eye be true	148	9
That is so vexed with watching and with tears	148	10
No marvel then though I mistake my view	148	11
The sun itself sees not till heaven clears	148	12
O cunning Love with tears thou keep'st me blind	148	13
Lest eyes well-seeing thy foul faults should find	148	14
Canst thou O cruel say I love thee not	149	1
When I against myself with thee partake	149	2
Do I not think on thee when I forgot	149	3
Am of my self all tyrant for thy sake	149	4
Who hateth thee that I do call my friend	149	5
On whom frown'st thou that I do fawn upon	149	6
Nay if thou lour'st on me do I not spend	149	7
Revenge upon myself with present moan	149	8
What merit do I in my self respect	149	9
That is so proud thy service to despise	149	10
When all my best doth worship thy defect	149	11
Commanded by the motion of thine eyes	149	12
But love hate on for now I know thy mind	149	13
Those that can see thou lov'st and I am blind	149	14
O from what power hast thou this powerful might	150	1
With insufficiency my heart to sway	150	2
To make me give the lie to my true sight	150	3
And swear that brightness doth not grace the day	150	4
Whence hast thou this becoming of things ill	150	5
That in the very refuse of thy deeds	150	6
There is such strength and warrantise of skill	150	7
That in my mind thy worst all best exceeds	150	8
Who taught thee how to make me love thee more	150	9
The more I hear and see just cause of hate	150	10
O though I love what others do abhor	150	11
With others thou shouldst not abhor my state	150	12
If thy unworthiness rais'd love in me	150	13
More worthy I to be belov'd of thee	150	14
Love is too young to know what conscience is	151	1
Yet who knows not conscience is born of love	151	2
Then gentle cheater urge not my amiss	151	3
Lest guilty of my faults thy sweet self prove	151	4
For thou betraying me I do betray	151	5
My nobler part to my gross body's treason	151	6
My soul doth tell my body that he may	151	7
Triumph in love flesh stays no farther reason	151	8
But rising at thy name doth point out thee	151	9
As his triumphant prize Proud of this pride	151	10
He is contented thy poor drudge to be	151	11
To stand in thy affairs fall by thy side	151	12
No want of conscience hold it that I call	151	13
Her love for whose dear love I rise and fall	151	14
In loving thee thou know'st I am forsworn	152	1
But thou art twice forsworn to me love swearing	152	2
In act thy bed-vow broke and new faith torn	152	3
In vowing new hate after new love bearing	152	4
But why of two oaths breach do I accuse thee	152	5
When I break twenty I am perjur'd most	152	6
For all my vows are oaths but to misuse thee	152	7
And all my honest faith in thee is lost	152	8
For I have sworn deep oaths of thy deep kindness	152	9
Oaths of thy love thy truth thy constancy	152	10
And to enlighten thee gave eyes to blindness	152	11
Or made them swear against the thing they see	152	12
For I have sworn thee fair more perjur'd I	152	13
To swear against the truth so foul a lie	152	14
Cupid laid by his brand and fell asleep	153	1
A maid of Dian's this advantage found	153	2
And his love-kindling fire did quickly steep	153	3
In a cold valley-fountain of that ground	153	4
Which borrow'd from this holy fire of Love	153	5
A dateless lively heat still to endure	153	6
And grew a seeting bath which yet men prove	153	7
Against strange maladies a sovereign cure	153	8
But at my mistress eye Love's brand new-fired	153	9
The boy for trial needs would touch my breast	153	10
I sick withal the help of bath desired	153	11
And thither hied a sad distemper'd guest	153	12
But found no cure the bath for my help lies	153	13
Where Cupid got new fire my mistress eyes	153	14
The little Love-god lying once asleep	154	1
Laid by his side his heart-inflaming brand	154	2
Whilst many nymphs that vow'd chaste life to keep	154	3
Came tripping by but in her maiden hand	154	4
The fairest votary took up that fire	154	5
Which many legions of true hearts had warm'd	154	6
And so the general of hot desire	154	7
Was sleeping by a virgin hand disarm'd	154	8
This brand she quenched in a cool well by	154	9
Which from Love's fire took heat perpetual	154	10
Growing a bath and healthful remedy	154	11
For men diseas'd but I my mistress thrall	154	12
Came there for cure and this by that I prove	154	13
Love's fire heats water water cools not love	154	14
